match_id,date,home_team,away_team,home_score,away_score,tournament,home_formation,away_formation,home_avg_age,away_avg_age,home_possession,away_possession,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_blocked,away_shots_blocked,home_shot_accuracy,away_shot_accuracy,home_passes_total,away_passes_total,home_pass_accuracy,away_pass_accuracy,home_key_passes,away_key_passes,home_tackles_won,away_tackles_won,home_tackle_success,away_tackle_success,home_interceptions,away_interceptions,home_clearances,away_clearances,home_aerials_won,away_aerials_won,home_attacking_intensity,away_attacking_intensity,home_defensive_intensity,away_defensive_intensity
WC_2026-06-17_PORTUGAL_DR_CONGO,2026-06-17,Portugal,DR Congo,1,1,FIFA World Cup,4-2-3-1,5-3-2,27.6,28.5,43.7,50.4,7,8,1,2,2,3,14.3,25.0,783,249,92.5,78.3,7,7,12,17,60.0,77.3,3,5,10,27,9,8,14,15,25,49
WC_2026-06-17_ENGLAND_CROATIA,2026-06-17,England,Croatia,4,2,FIFA World Cup,4-2-3-1,3-4-2-1,26.8,27.9,50.3,54.0,22,10,11,5,5,2,50.0,50.0,474,443,85.7,86.0,15,7,9,11,64.3,61.1,7,9,16,17,12,16,37,17,32,37
WC_2026-06-18_GHANA_PANAMA,2026-06-18,Ghana,Panama,1,0,FIFA World Cup,4-3-3,3-4-3,26.2,30.1,53.1,47.5,7,11,2,4,1,2,28.6,36.4,352,583,83.0,86.3,5,8,16,29,72.7,76.3,8,5,28,17,21,13,12,19,52,51
WC_2026-06-18_UZBEKISTAN_COLOMBIA,2026-06-18,Uzbekistan,Colombia,1,3,FIFA World Cup,3-4-2-1,4-3-3,27.7,29.6,59.1,44.6,8,15,2,4,2,4,25.0,26.7,319,519,76.2,85.5,5,11,10,10,66.7,66.7,7,6,24,20,10,8,13,26,41,36
WC_2026-06-18_CZECHIA_SOUTH_AFRICA,2026-06-18,Czechia,South Africa,1,1,FIFA World Cup,3-5-2,4-3-3,27.3,25.9,51.2,50.9,14,17,3,4,3,8,21.4,23.5,341,563,79.8,90.2,11,11,12,20,60.0,66.7,9,9,22,24,13,9,25,28,43,53
WC_2026-06-18_SWITZERLAND_BOSNIA_AND_HERZEGOVINA,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,FIFA World Cup,4-3-1-2,4-4-2,27.8,26,44.1,50.2,13,5,7,3,3,1,53.8,60.0,586,354,88.1,81.1,10,3,19,13,76.0,68.4,5,11,17,36,10,12,23,8,41,60
WC_2026-06-18_CANADA_QATAR,2026-06-18,Canada,Qatar,6,0,FIFA World Cup,4-4-2,4-3-3,26.5,28.9,56.4,38.0,32,2,10,0,14,1,31.2,0.0,567,162,90.8,64.2,21,1,9,16,81.8,72.7,6,10,3,61,8,7,53,3,18,87
WC_2026-06-19_MEXICO_SOUTH_KOREA,2026-06-19,Mexico,South Korea,1,0,FIFA World Cup,4-3-3,3-4-2-1,27.5,27.5,39.1,51.9,8,9,4,2,1,3,50.0,22.2,427,578,81.7,84.4,6,6,14,17,60.9,73.9,6,5,20,12,15,13,14,15,40,34
WC_2026-06-19_USA_AUSTRALIA,2026-06-19,USA,Australia,2,0,FIFA World Cup,3-5-2,5-4-1,26.4,26.9,44.4,56.9,10,5,2,2,6,0,20.0,40.0,523,310,84.9,70.6,9,3,20,13,58.8,54.2,20,6,31,24,15,27,19,8,71,43
WC_2026-06-19_SCOTLAND_MOROCCO,2026-06-19,Scotland,Morocco,0,1,FIFA World Cup,4-4-1-1,4-2-3-1,28.7,26.2,53.6,46.5,6,12,0,2,3,4,0.0,16.7,456,670,85.1,89.6,5,12,20,10,80.0,71.4,9,5,17,14,7,9,11,24,46,29
WC_2026-06-20_BRAZIL_HAITI,2026-06-20,Brazil,Haiti,3,0,FIFA World Cup,4-3-3,5-4-1,28.6,27,46.8,54.1,8,7,5,3,1,1,62.5,42.9,525,399,88.0,83.2,6,5,21,16,87.5,80.0,10,9,14,22,14,10,14,12,45,47
WC_2026-06-20_TURKIYE_PARAGUAY,2026-06-20,Turkiye,Paraguay,0,1,FIFA World Cup,4-2-3-1,4-4-2,27.2,28.5,49.5,50.6,32,7,5,2,12,2,15.6,28.6,629,178,88.9,53.9,26,5,17,25,53.1,65.8,6,9,29,48,15,20,58,12,52,82
WC_2026-06-20_NETHERLANDS_SWEDEN,2026-06-20,Netherlands,Sweden,5,1,FIFA World Cup,4-3-3,3-1-4-2,27.5,27,44.7,55.7,10,16,7,8,1,3,70.0,50.0,449,425,88.6,84.9,9,15,15,18,68.2,85.7,8,5,24,14,14,13,19,31,47,37
WC_2026-06-20_GERMANY_IVORY_COAST,2026-06-20,Germany,Ivory Coast,2,1,FIFA World Cup,4-2-3-1,4-1-4-1,27.7,25.4,50.6,52.7,16,9,7,2,4,5,43.8,22.2,624,431,88.9,85.2,14,6,26,20,56.5,76.9,8,13,14,26,10,10,30,15,48,59
WC_2026-06-21_ECUADOR_CURACAO,2026-06-21,Ecuador,Curacao,0,0,FIFA World Cup,3-1-4-2,5-4-1,25.6,27.5,46.3,44.5,27,10,15,3,2,3,55.6,30.0,644,227,90.2,70.0,23,9,19,17,67.9,68.0,7,8,17,32,15,19,50,19,43,57
WC_2026-06-21_TUNISIA_JAPAN,2026-06-21,Tunisia,Japan,0,4,FIFA World Cup,3-4-2-1,3-4-2-1,26.3,27.1,51.2,49.6,2,11,0,5,1,3,0.0,45.5,353,582,80.5,89.5,1,9,18,18,81.8,90.0,14,6,23,25,4,14,3,20,55,49
WC_2026-06-21_SPAIN_SAUDI_ARABIA,2026-06-21,Spain,Saudi Arabia,4,0,FIFA World Cup,4-3-3,5-4-1,26.3,28,49.5,56.2,22,3,8,1,2,1,36.4,33.3,726,364,92.0,80.8,15,1,10,15,55.6,68.2,13,13,17,35,11,4,37,4,40,63
WC_2026-06-21_BELGIUM_IRAN,2026-06-21,Belgium,Iran,0,0,FIFA World Cup,4-2-3-1,5-4-1,27.5,29.8,49.7,63.3,23,7,7,3,6,1,30.4,42.9,621,270,85.8,73.3,16,6,12,19,85.7,57.6,3,12,11,51,18,17,39,13,26,82
WC_2026-06-22_URUGUAY_CABO_VERDE,2026-06-22,Uruguay,Cabo Verde,2,2,FIFA World Cup,4-1-4-1,4-1-4-1,28.1,29.3,51.0,54.1,17,12,2,4,7,4,11.8,33.3,511,278,82.2,73.7,12,6,16,16,57.1,69.6,7,13,11,48,20,16,29,18,34,77
WC_2026-06-22_NEW_ZEALAND_EGYPT,2026-06-22,New Zealand,Egypt,1,3,FIFA World Cup,4-2-3-1,4-2-3-1,27.8,28.7,50.7,46.1,11,19,5,7,3,6,45.5,36.8,421,526,80.0,87.5,8,16,12,16,63.2,69.6,4,6,22,37,16,20,19,35,38,59
WC_2026-06-22_ARGENTINA_AUSTRIA,2026-06-22,Argentina,Austria,2,0,FIFA World Cup,4-4-2,4-2-3-1,28.7,28.2,51.8,55.9,12,6,5,1,3,0,41.7,16.7,554,468,89.2,85.7,6,5,21,12,77.8,66.7,8,9,35,15,11,16,18,11,64,36
WC_2026-06-22_FRANCE_IRAQ,2026-06-22,France,Iraq,3,0,FIFA World Cup,4-2-3-1,4-1-4-1,26.6,26.5,46.7,50.3,19,4,5,0,4,1,26.3,0.0,603,481,89.6,85.9,12,4,14,16,70.0,57.1,5,10,9,28,10,8,31,8,28,54
WC_2026-06-23_NORWAY_SENEGAL,2026-06-23,Norway,Senegal,3,2,FIFA World Cup,4-3-3,4-2-3-1,26.3,26.7,45.4,53.7,13,16,7,4,3,5,53.8,25.0,353,489,79.9,87.9,9,13,10,16,47.6,76.2,8,10,26,18,20,17,22,29,44,44
WC_2026-06-23_JORDAN_ALGERIA,2026-06-23,Jordan,Algeria,1,2,FIFA World Cup,3-4-2-1,4-2-3-1,28.1,26.5,52.3,45.7,8,17,4,8,0,5,50.0,47.1,251,641,72.1,87.5,6,15,30,25,68.2,78.1,3,11,36,15,18,16,14,32,69,51
WC_2026-06-23_PORTUGAL_UZBEKISTAN,2026-06-23,Portugal,Uzbekistan,5,0,FIFA World Cup,4-2-3-1,3-4-2-1,27.6,27.8,53.1,54.8,17,7,9,2,3,3,52.9,28.6,624,327,89.9,80.1,9,7,14,18,63.6,56.2,6,14,16,30,11,6,26,14,36,62
WC_2026-06-23_ENGLAND_GHANA,2026-06-23,England,Ghana,0,0,FIFA World Cup,4-2-3-1,4-1-4-1,26.8,26.5,47.8,48.0,19,2,3,1,6,1,15.8,50.0,633,172,92.6,73.8,14,1,14,22,77.8,75.9,1,8,6,39,18,8,33,3,21,69
WC_2026-06-24_PANAMA_CROATIA,2026-06-24,Panama,Croatia,0,1,FIFA World Cup,5-4-1,4-2-3-1,30.1,27.9,49.2,43.9,8,6,1,2,2,1,12.5,33.3,352,512,78.7,84.4,5,4,10,19,47.6,63.3,5,5,29,38,26,15,13,10,44,62
WC_2026-06-24_COLOMBIA_DR_CONGO,2026-06-24,Colombia,DR Congo,1,0,FIFA World Cup,4-3-3,5-3-2,29.6,28.6,43.7,53.2,20,7,9,1,6,2,45.0,14.3,541,299,87.4,75.6,14,7,10,15,100.0,83.3,10,7,18,19,19,9,34,14,38,41
WC_2026-06-24_BOSNIA_AND_HERZEGOVINA_QATAR,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,FIFA World Cup,4-4-2,4-3-3,26.2,29,45.5,53.1,14,9,5,3,5,0,35.7,33.3,517,434,87.6,85.3,11,10,10,12,76.9,54.5,4,4,21,24,10,4,25,19,35,40
WC_2026-06-24_SWITZERLAND_CANADA,2026-06-24,Switzerland,Canada,2,1,FIFA World Cup,4-2-3-1,4-4-2,27.8,26.6,41.2,56.7,6,13,4,7,1,3,66.7,53.8,441,339,83.2,79.9,4,12,15,9,75.0,64.3,5,13,43,19,16,12,10,25,63,41
